equip,mode,start,end,duration_min,n_points,peak_mae,peak_ratio,mean_mae,mean_ratio,dist_to_failure_days,category
B-24001B,mult,2025-02-11 13:17:00,2025-02-11 15:04:00,107.0,108,0.3250421,1.977,0.15208643524576274,0.925,36.55,far
B-24001B,mult,2025-02-13 12:53:00,2025-02-13 14:38:00,105.0,106,0.29116482,1.771,0.13287223671982756,0.808,38.54,far
B-24001B,mult,2025-02-14 10:32:00,2025-02-14 10:33:00,1.0,2,0.32066795,1.95,0.21795683833333332,1.326,39.44,far
B-24001B,mult,2025-02-14 10:35:00,2025-02-14 10:36:00,1.0,2,0.32066795,1.95,0.2468401216666667,1.501,39.44,far
B-24001B,mult,2025-02-14 10:38:00,2025-02-14 12:24:00,106.0,107,0.32066795,1.95,0.13627052213675214,0.829,39.44,far
B-24001B,mult,2025-02-17 13:05:00,2025-02-17 14:07:00,62.0,63,0.36046612,2.192,0.2425381369452055,1.475,42.55,far
B-24001B,mult,2025-02-17 14:09:00,2025-02-17 14:09:00,0.0,1,0.03542582,0.215,0.03112640063636364,0.189,42.59,far
B-24001B,mult,2025-02-17 14:12:00,2025-02-17 14:51:00,39.0,40,0.03542582,0.215,0.028048738919999996,0.171,42.59,far
B-24001B,mult,2025-02-28 13:32:00,2025-02-28 15:21:00,109.0,110,0.3258398,1.982,0.15781670447916665,0.96,53.56,far
B-24001B,mult,2025-03-21 09:45:00,2025-03-21 10:58:00,73.0,74,0.20482874,1.246,0.11195967513095237,0.681,74.41,far
B-3403C,mult,2023-01-03 12:06:00,2023-01-03 13:52:00,106.0,107,0.1375185,1.379,0.09594433822222222,0.962,251.5,far
B-3403C,mult,2023-01-03 14:14:00,2023-01-03 15:59:00,105.0,106,0.11272338,1.13,0.08891780875000001,0.891,251.41,far
B-3403C,mult,2023-01-03 18:41:00,2023-01-03 19:45:00,64.0,65,0.108291276,1.086,0.09375987426666667,0.94,251.22,far
B-3403C,mult,2023-01-03 23:05:00,2023-01-04 00:06:00,61.0,62,0.103320375,1.036,0.09069883226388889,0.909,251.04,far
B-3403C,mult,2023-01-04 00:47:00,2023-01-04 02:33:00,106.0,107,0.10432976,1.046,0.09441242091452992,0.946,250.97,far
B-3403C,mult,2023-01-04 12:35:00,2023-01-04 14:03:00,88.0,89,0.110133186,1.104,0.08963942192929295,0.899,250.48,far
B-3403C,mult,2023-01-13 15:27:00,2023-01-13 17:13:00,106.0,107,0.18507273,1.855,0.10832385722222221,1.086,241.36,far
B-3403C,mult,2023-01-24 10:43:00,2023-01-24 11:59:00,76.0,77,0.11811673,1.184,0.07607731886206898,0.763,230.55,far
B-3403C,mult,2023-01-24 15:21:00,2023-01-24 16:19:00,58.0,59,0.10413688,1.044,0.08962834792753621,0.898,230.36,far
B-3403C,mult,2023-02-01 01:10:00,2023-02-01 02:09:00,59.0,60,0.12496745,1.253,0.062193631700000016,0.623,222.95,far
B-3403C,mult,2023-02-01 11:08:00,2023-02-01 12:10:00,62.0,63,0.13697726,1.373,0.07581033791780822,0.76,222.54,far
B-3403C,mult,2023-02-07 12:12:00,2023-02-07 14:15:00,123.0,124,0.11516926,1.154,0.09325582664179106,0.935,216.49,far
B-3403C,mult,2023-02-07 18:12:00,2023-02-07 19:47:00,95.0,96,0.11208356,1.124,0.08741970039622642,0.876,216.24,far
B-3403C,mult,2023-02-16 07:47:00,2023-02-16 09:24:00,97.0,98,0.13542679,1.358,0.09251010822222219,0.927,207.68,far
B-3403C,mult,2023-02-16 11:50:00,2023-02-16 13:19:00,89.0,90,0.13269188,1.33,0.09883872415999999,0.991,207.51,far
B-3403C,mult,2023-02-17 01:46:00,2023-02-17 03:36:00,110.0,111,0.118087806,1.184,0.09482344766942147,0.951,206.93,far
B-3403C,mult,2023-02-17 04:14:00,2023-02-17 05:36:00,82.0,83,0.11207027,1.123,0.09637028793548386,0.966,206.82,far
B-3403C,mult,2023-02-17 05:48:00,2023-02-17 06:03:00,15.0,16,0.10814554,1.084,0.10254549303846155,1.028,206.76,far
B-3403C,mult,2023-02-17 06:05:00,2023-02-17 08:03:00,118.0,119,0.12211888,1.224,0.09898583548062016,0.992,206.75,far
B-3403C,mult,2023-02-18 11:39:00,2023-02-18 12:21:00,42.0,43,0.10089617,1.011,0.09023486684905661,0.905,205.51,far
B-3403C,mult,2023-02-18 14:02:00,2023-02-18 22:27:00,505.0,506,0.13963799,1.4,0.10778206283914728,1.08,205.42,far
B-3403C,mult,2023-02-20 03:42:00,2023-02-20 09:55:00,373.0,374,0.13611384,1.364,0.10556542120052086,1.058,203.85,far
B-3403C,mult,2023-02-20 09:58:00,2023-02-20 10:29:00,31.0,32,0.09982047,1.001,0.08272644171428571,0.829,203.58,far
B-3403C,mult,2023-02-22 14:22:00,2023-02-22 15:48:00,86.0,87,0.12274787,1.23,0.06840769191752578,0.686,201.4,far
B-3403C,mult,2023-02-24 18:39:00,2023-02-24 20:13:00,94.0,95,0.12562676,1.259,0.0869190946,0.871,199.22,far
B-3403C,mult,2023-02-27 05:47:00,2023-02-27 07:24:00,97.0,98,0.15853222,1.589,0.09314996208333334,0.934,196.76,far
B-3403C,mult,2023-02-28 00:04:00,2023-02-28 02:25:00,141.0,142,0.1049092,1.052,0.09354381951315789,0.938,196.0,far
B-3403C,mult,2023-02-28 03:33:00,2023-02-28 04:50:00,77.0,78,0.10591715,1.062,0.09336849026136364,0.936,195.85,far
B-3403C,mult,2023-03-04 16:23:00,2023-03-04 16:56:00,33.0,34,0.12353067,1.238,0.10333074302272727,1.036,191.32,far
B-3403C,mult,2023-03-04 16:58:00,2023-03-04 17:02:00,4.0,5,0.13987201,1.402,0.11727410853333334,1.176,191.29,far
B-3403C,mult,2023-03-05 02:00:00,2023-03-05 03:09:00,69.0,70,0.11268464,1.13,0.08420601835,0.844,190.92,far
B-3403C,mult,2023-04-28 10:17:00,2023-04-28 10:32:00,15.0,16,0.13715973,1.375,0.09982850280769232,1.001,136.57,far
B-3403C,mult,2023-04-29 02:31:00,2023-04-29 04:00:00,89.0,90,0.15891916,1.593,0.08222474553999999,0.824,135.9,far
B-3403C,mult,2023-05-05 01:11:00,2023-05-05 02:20:00,69.0,70,0.10555825,1.058,0.0924782144625,0.927,129.95,far
B-3403C,mult,2023-05-05 14:05:00,2023-05-05 15:52:00,107.0,108,0.10374938,1.04,0.09389553472033899,0.941,129.41,far
B-3403C,mult,2023-05-14 06:22:00,2023-05-14 07:53:00,91.0,92,0.120718375,1.21,0.0688595882254902,0.69,120.73,far
B-3403C,mult,2023-05-31 19:12:00,2023-05-31 19:52:00,40.0,41,0.1074575,1.077,0.0815309913137255,0.817,103.2,far
B-3403C,mult,2023-06-04 12:14:00,2023-06-04 13:50:00,96.0,97,0.11351218,1.138,0.08690087550467288,0.871,99.49,far
B-3403C,mult,2023-06-04 17:34:00,2023-06-04 19:10:00,96.0,97,0.103561975,1.038,0.09021584356074767,0.904,99.27,far
