arm,par,tr_det,tr_n,tr_fp,tr_h,tr_lead,tr_quais,te_det,te_n,te_fp,te_h,te_lead,te_quais,tot_det,tot_n,tot_fp,tot_h,tot_lead,tot_quais
ambos,100/0.15,5,6,5.101234545346591,75.95171434182701,20.48,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,6.7992088862314,131.14918473886348,17.3,"2025-11-04,2025-12-09,2026-02-26",8,9,5.8529470905800505,100.38826203487586,19.2875,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,100/0.2,5,6,4.601113511489082,78.53900715698319,21.053333333333335,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,5.288273578179978,137.3943840121427,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.905327085438519,104.59495162632767,19.695833333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,100/0.25,5,6,4.201016684403075,79.88599980817276,21.06,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,5.036451026838074,138.6157233861509,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.570872965976801,105.88631614313822,19.700000000000003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,100/0.3,5,6,4.301040891174576,79.96935331381567,21.06,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.910539751167122,139.11097440379004,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.570872965976801,106.15202136026612,19.700000000000003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,100/0.39,5,6,4.100992477631573,79.50257368221534,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.784628475496171,139.59363429386198,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.403645906245943,106.1055693992298,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,100/0.5,5,6,4.100992477631573,79.6559441325983,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.0595060138445,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.39728771453805,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,100/0.7,5,6,4.100992477631573,79.84932426568987,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.12665869420235,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.53478551920566,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,100/1.0,5,6,4.100992477631573,79.89600222884991,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.2903433525746,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.63326367660271,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,100/1.5,5,6,4.100992477631573,79.91934121042993,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.31132856518641,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.65556061790016,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,150/0.15,5,6,5.101234545346591,75.95171434182701,20.48,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,6.7992088862314,131.14918473886348,17.3,"2025-11-04,2025-12-09,2026-02-26",8,9,5.8529470905800505,100.38826203487586,19.2875,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,150/0.2,5,6,4.601113511489082,78.53900715698319,21.053333333333335,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,5.288273578179978,137.3943840121427,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.905327085438519,104.59495162632767,19.695833333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,150/0.25,5,6,4.201016684403075,79.88599980817276,21.06,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,5.036451026838074,138.6199204286733,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.570872965976801,105.88817422157967,19.700000000000003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,150/0.3,5,6,4.301040891174576,79.96935331381567,21.06,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.910539751167122,139.11936848883474,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.570872965976801,106.15573751714903,19.700000000000003,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,150/0.39,5,6,4.100992477631573,79.50257368221534,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.784628475496171,139.6062254214291,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.403645906245943,106.11114363455415,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,150/0.5,5,6,4.100992477631573,79.6559441325983,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.07629418393398,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.40472002830387,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,150/0.7,5,6,4.100992477631573,79.84932426568987,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.1434468642918,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.54221783297146,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,150/1.0,5,6,4.100992477631573,79.89600222884991,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.30713152266404,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.64069599036853,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,150/1.5,5,6,4.100992477631573,79.91934121042993,21.07333333333333,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,4.658717199825219,140.32811673527587,17.433333333333334,"2025-11-04,2025-12-09,2026-02-26",8,9,4.347903553002324,106.66299293166597,19.708333333333336,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
ambos,200/0.15,5,6,5.101234545346591,75.95171434182701,20.48,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29",3,3,6.7992088862314,131.14918473886348,17.3,"2025-11-04,2025-12-09,2026-02-26",8,9,5.8529470905800505,100.38826203487586,19.2875,"2025-02-27,2025-03-17,2025-04-07,2025-04-11,2025-04-29,2025-11-04,2025-12-09,2026-02-26"
